FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5
,A.Armstrong,FWD,SOU,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,9535,0,2,0,0,0,0,0,0.2,9535,0,0,1,0,0.2,0,1,0,0,0,0,0,0.7,8432,0,-1,0,0,45,8432,0,0,0,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton
,A.Doucouré,MID,EVE,5500000,2,2,2,3.63636363636364E-07,3.63636363636364E-07,0,2824,0,1,0,0,0,0,0,0.4,2824,0,0,2,0,0.4,0,2,0,0,0,0,0,0.3,3384,0,-1,0,0,90,3384,0,0,13,Aston Villa,Nottingham Forest FC,Brentford F.C.,Leeds United F.C.,Liverpool
Brenden,Aaronson,MID,LEE,5500000,2,2,2,3.63636363636364E-07,3.63636363636364E-07,0,7506,0,1,0,0,0,0,0,0.4,7506,0,0,2,0,0.4,0,2,0,0,0,0,0,1.3,21781,0,-1,0,0,84,21781,0,0,4,Southampton,Chelsea,Brighton,Everton,Brentford F.C.
,Adama,MID,WOL,5500000,0,0,0,0,0,0,5358,0,0,0,0,0,0,0,0,5358,0,0,0,0,0,0,0,0,0,0,0,0,0.1,306,0,-1,0,0,0,306,0,0,0,Fulham,Tottenham,Newcastle,Bournemouth,Southampton
Che,Adams,FWD,SOU,6400000,0,0,0,0,0,0,14446,0,0,0,0,0,0,0,0,14446,-1,1,0,1,0,0,0,0,0,0,0,0,0.6,2378,0,-1,0,0,0,2378,-1,0,0,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton
Tyler,Adams,MID,LEE,5000000,1,1,1,2E-07,2E-07,0,1887,1,1,0,0,0,0,0,0.2,1887,0,0,1,0,0.2,0,1,0,0,0,0,0,0.2,1904,0,-1,0,0,90,1904,0,0,7,Southampton,Chelsea,Brighton,Everton,Brentford F.C.
,Adrián,GLK,LIV,4000000,0,0,0,0,0,0,5443,0,0,0,0,0,0,0,0,5443,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3591,0,-1,0,0,0,3591,0,0,0,Crystal Palace,Man Utd,Bournemouth,Newcastle,Everton
Nayef,Aguerd,DEF,WHU,5000000,0,0,0,0,0,0,2943,0,0,0,0,0,0,0,0,2943,0,0,0,0,0,0,0,0,0,0,0,0,0.1,190,0,-1,0,0,0,190,0,0,0,Nottingham Forest FC,Brighton,Aston Villa,Tottenham,Chelsea
Rayan,Aït-Nouri,DEF,WOL,4500000,-1,-1,-1,-2.22222222222222E-07,-2.22222222222222E-07,0,19145,0,2,0,0,0,0,0,-0.2,19145,0,0,-1,0,-0.2,0,-1,0,0,0,0,0,1.8,6022,1,-1,0,0,90,6022,0,0,11,Fulham,Tottenham,Newcastle,Bournemouth,Southampton
Kristoffer,Ajer,DEF,BRE,4500000,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,-1,0,0,0,95,0,0,0,Man Utd,Fulham,Everton,Crystal Palace,Leeds United F.C.
