FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
,A.Armstrong,FWD,SOU,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,9595,0,2,0,0,0,0,0,0.2,9595,0,0,1,0,0.2,0,1,0,0,0,0,0,0.7,8503,0,-1,0,0,45,8503,0,0,0,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton,0.7,0.5,1.3,0.5,1,0.8,0.9,0.7,0.5,1,0.5,0.5,1.2,0.5,0.9,0.7,0.7,1,0.5,1.1,0.6,1.2,0.5,0.5,0.6,1.2,0.5,0.8,0.5,1.4,0.5,0.5,0.5,0.8,0.9,0.5,1.1
,A.Doucoure,MID,EVE,5500000,2,2,2,3.63636363636364E-07,3.63636363636364E-07,0,2835,0,1,0,0,0,0,0,0.4,2835,0,0,2,0,0.4,0,2,0,0,0,0,0,0.3,3405,0,-1,0,0,90,3405,0,0,13,Aston Villa,Nottingham Forest FC,Brentford F.C.,Leeds United F.C.,Liverpool,1.7,2.3,1.2,1,1.3,1,1.8,1,1.7,1,1,1.7,1.5,1.4,1,1.1,1,1.1,1.2,1.4,1.2,1,1.3,2.1,1.9,1.6,1,1.2,1.3,1.9,1.3,1.3,1,1,1.2,1,1.3
Brenden,Aaronson,MID,LEE,5500000,2,2,2,3.63636363636364E-07,3.63636363636364E-07,0,7565,0,1,0,0,0,0,0,0.4,7565,0,0,2,0,0.4,0,2,0,0,0,0,0,1.3,21993,0,-1,0,0,84,21993,0,0,4,Southampton,Chelsea,Brighton,Everton,Brentford F.C.,1,1.2,1,1.9,1.2,2.3,1.3,2.1,1.3,1.2,1,1.9,1,1.3,1,1.2,1,1.8,1.7,1.6,1.9,1.7,1.5,1.2,1,1.1,1,1,1.7,1.3,1.5,1.4,1,1,1.3,1.4,1.2
,Adama,MID,WOL,5500000,0,0,0,0,0,0,5376,0,0,0,0,0,0,0,0,5376,0,0,0,0,0,0,0,0,0,0,0,0,0.1,310,0,-1,0,0,0,310,0,0,0,Fulham,Tottenham,Newcastle,Bournemouth,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6400000,0,0,0,0,0,0,14515,0,0,0,0,0,0,0,0,14515,-1,1,0,1,0,0,0,0,0,0,0,0,0.6,2392,0,-1,0,0,0,2392,-1,0,0,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,Adams,MID,LEE,5000000,1,1,1,2E-07,2E-07,0,1898,1,1,0,0,0,0,0,0.2,1898,0,0,1,0,0.2,0,1,0,0,0,0,0,0.2,1917,0,-1,0,0,90,1917,0,0,7,Southampton,Chelsea,Brighton,Everton,Brentford F.C.,0.5,0.5,0.5,0.6,0.5,0.8,0.5,0.7,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Adrian,GLK,LIV,4000000,0,0,0,0,0,0,5481,0,0,0,0,0,0,0,0,5481,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3606,0,-1,0,0,0,3606,0,0,0,Crystal Palace,Man Utd,Bournemouth,Newcastle,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nayef,Aguerd,DEF,WHU,5000000,0,0,0,0,0,0,2953,0,0,0,0,0,0,0,0,2953,0,0,0,0,0,0,0,0,0,0,0,0,0.1,190,0,-1,0,0,0,190,0,0,0,Nottingham Forest FC,Brighton,Aston Villa,Tottenham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait-Nouri,DEF,WOL,4500000,-1,-1,-1,-2.22222222222222E-07,-2.22222222222222E-07,0,19269,0,2,0,0,0,0,0,-0.2,19269,0,0,-1,0,-0.2,0,-1,0,0,0,0,0,1.8,6087,1,-1,0,0,90,6087,0,0,11,Fulham,Tottenham,Newcastle,Bournemouth,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristoffer,Ajer,DEF,BRE,4500000,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,-1,0,0,0,96,0,0,0,Man Utd,Fulham,Everton,Crystal Palace,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
